,"Population"
"1950",618000
"1951",634000
"1952",651000
"1953",669000
"1954",686000
"1955",705000
"1956",723000
"1957",743000
"1958",762000
"1959",783000
"1960",803000
"1961",829000
"1962",857000
"1963",885000
"1964",915000
"1965",945000
"1966",977000
"1967",1009000
"1968",1043000
"1969",1077000
"1970",1114000
"1971",1156000
"1972",1199000
"1973",1244000
"1974",1291000
"1975",1339000
"1976",1389000
"1977",1441000
"1978",1495000
"1979",1551000
"1980",1609000
"1981",1670000
"1982",1732000
"1983",1797000
"1984",1865000
"1985",1925000
"1986",1969000
"1987",2014000
"1988",2060000
"1989",2107000
"1990",2155000
"1991",2206000
"1992",2264000
"1993",2324000
"1994",2384000
"1995",2447000
"1996",2511000
"1997",2577000
"1998",2644000
"1999",2714000
"2000",2785000
"2001",2858000
"2002",2933000
"2003",3009000
"2004",3088000
"2005",3168000
"2006",3251000
"2007",3336000
"2008",3423000
"2009",3512000
"2010",3604000
"2011",3698000
"2012",3795000
"2013",3894000
"2014",3996000
"2015",4100000
"2016",4208000
"2017",4318000
"2018",4430000
"2019",4524000
"2020",4618000
"2021",4710000
"2022",4801000
"2023",4890000
"2024",4978000
"2025",5064000